date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:50	6669/6669	---MCZ	200	added ('OK')	text/html	etag:W/%221a0d-MB+vLyBfjaY98hOtlPXN0eChuCg%22	https://shor.by/setdgv5	/home/william/websites/asd/shor.by/setdgv5.html	(from )
10:25:51	509/509	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%223fc-wfIsxMMRoXb/BI/0JURx0blSf9o%22	https://shor.by/robots.txt		(from )
10:25:51	2100/2100	---M--	200	added ('OK')	image/png	etag:W/%22834-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-iphone-60x60.png	/home/william/websites/asd/shor.by/touch-icons/apple-touch-icon-iphone-60x60.png	(from https://shor.by/setdgv5)
10:25:52	2548/2548	---M--	200	added ('OK')	image/png	etag:W/%229f4-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-ipad-76x76.png	/home/william/websites/asd/shor.by/touch-icons/apple-touch-icon-ipad-76x76.png	(from https://shor.by/setdgv5)
10:25:53	4639/4639	---M--	200	added ('OK')	image/png	etag:W/%22121f-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-iphone-retina-120x120.png	/home/william/websites/asd/shor.by/touch-icons/apple-touch-icon-iphone-retina-120x120.png	(from https://shor.by/setdgv5)
10:25:54	6033/6033	---M--	200	added ('OK')	image/png	etag:W/%221791-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-ipad-retina-152x152.png	/home/william/websites/asd/shor.by/touch-icons/apple-touch-icon-ipad-retina-152x152.png	(from https://shor.by/setdgv5)
10:25:55	10083/10083	---M--	200	added ('OK')	text/css	etag:W/%222763-1748bc28a48%22	https://shor.by/css/main.css	/home/william/websites/asd/shor.by/css/main.css	(from https://shor.by/setdgv5)
10:25:58	196673/196673	---M--	200	added ('OK')	application/javascript	etag:W/%2230041-1747d06620e%22	https://shor.by/smartpage.js?dc02a640	/home/william/websites/asd/shor.by/smartpage49ef.js	(from https://shor.by/setdgv5)
10:25:59	19446/19446	---M--	200	added ('OK')	image/jpeg	etag:%22845ee5f004c6d6ea216809f30a75a0fb%22	https://cdn.filestackcontent.com/kyOkiYZ7TgCx0x4BMYTx	/home/william/websites/asd/cdn.filestackcontent.com/WeChat%20Image_20200927235003.jpg	(from https://shor.by/setdgv5)
10:25:59	86/86	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:26:01%20GMT	https://shor.by/vQ3T	/home/william/websites/asd/shor.by/vQ3T	(from https://shor.by/setdgv5)
10:26:00	258/258	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:26:02%20GMT	https://shor.by/yQsk	/home/william/websites/asd/shor.by/yQsk	(from https://shor.by/setdgv5)
10:26:00	246637/246637	---M--	200	added ('OK')	text/css	etag:W/%223c36d-1747d06620e%22	https://shor.by/css/shorby-page.css?dc02a640	/home/william/websites/asd/shor.by/css/shorby-page49ef.css	(from https://shor.by/setdgv5)
10:26:01	86/86	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:26:04%20GMT	https://shor.by/2VK6	/home/william/websites/asd/shor.by/2VK6	(from https://shor.by/setdgv5)
